,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042742,BP,GO:0042742,defense response to bacterium,157/1678,434/21061,0.361751152073733,4.54042968642723,21.9279215049438,2.23016537380784e-63,4.07897246869454e-60,3.09171347084729e-60,AT1G19250/AT3G45330/AT1G17615/AT2G13810/AT4G23310/AT2G19190/AT3G01420/AT1G32960/AT1G66700/AT1G73260/AT3G11340/AT2G45220/AT2G30770/AT4G23150/AT5G40990/AT4G11650/AT4G28460/AT3G55150/AT4G23140/AT5G13320/AT1G51800/AT5G64810/AT1G68765/AT4G11480/AT5G01550/AT5G46050/AT2G30750/AT2G32680/AT5G46350/AT5G22570/AT2G47130/AT3G45860/AT5G01900/AT4G23160/AT4G23280/AT5G24530/AT1G70690/AT2G46400/AT5G39670/AT3G49120/AT4G23210/AT2G25000/AT3G45410/AT3G04720/AT5G65600/AT4G23230/AT5G05300/AT5G27420/AT1G73805/AT1G08450/AT4G23810/AT5G24210/AT4G23190/AT5G44585/AT1G74710/AT4G39030/AT5G52640/AT5G26920/AT3G59700/AT5G60280/AT5G25440/AT5G53120/AT4G31800/AT2G37710/AT5G44568/AT4G12480/AT1G02450/AT4G28490/AT3G52430/AT3G10930/AT4G11470/AT3G50260/AT3G08870/AT4G04960/AT4G19700/AT1G07000/AT3G56400/AT4G34390/AT5G49520/AT4G23260/AT4G18360/AT2G05940/AT3G09830/AT3G53810/AT1G22890/AT1G80840/AT3G48090/AT5G57220/AT1G33560/AT5G48380/AT1G14370/AT3G54640/AT4G23130/AT4G12720/AT5G06320/AT1G55020/AT4G23200/AT4G03960/AT5G65210/AT5G45110/AT2G39050/AT4G11850/AT4G39950/AT4G33300/AT5G63970/AT5G46180/AT4G22305/AT5G22250/AT2G32800/AT5G45410/AT2G39660/AT5G14930/AT2G38470/AT3G57330/AT1G18570/AT4G14400/AT3G28930/AT3G28450/AT1G77920/AT2G24570/AT3G14460/AT5G62570/AT5G47220/AT5G04720/AT1G08830/AT4G26070/AT2G40000/AT4G25030/AT1G80460/AT2G23810/AT2G23150/AT4G26750/AT2G17520/AT1G64280/AT3G56710/AT1G19180/AT3G44670/AT2G25110/AT1G31280/AT4G12010/AT3G05200/AT1G79380/AT3G44880/AT3G28940/AT5G52830/AT1G48490/AT4G23250/AT4G19660/AT3G20600/AT3G21630/AT1G59870/AT4G28350/AT4G13040/AT1G16540/AT1G22070/AT5G18370/AT3G07525,157
GO:0009620,BP,GO:0009620,response to fungus,119/1678,376/21061,0.316489361702128,3.97233757259148,17.111140407702,3.20768408955481e-41,2.51196141541485e-38,1.90397581888369e-38,AT1G19250/AT5G66890/AT3G45330/AT1G17615/AT4G10500/AT3G01420/AT1G32960/AT1G66700/AT1G73260/AT3G22600/AT2G45220/AT2G30770/AT1G70170/AT5G40990/AT3G26830/AT3G55150/AT4G20000/AT1G51800/AT5G64810/AT1G74080/AT3G09940/AT2G32680/AT1G64070/AT5G46350/AT5G25910/AT3G55970/AT4G12490/AT5G26170/AT1G79680/AT3G50460/AT3G12500/AT5G24530/AT5G43580/AT2G17740/AT2G35000/AT3G50480/AT2G43510/AT5G10380/AT2G31865/AT3G49120/AT2G14560/AT3G13790/AT2G25000/AT1G45145/AT3G45410/AT5G64120/AT1G24140/AT1G03850/AT2G33380/AT1G32940/AT5G44585/AT5G10520/AT1G74710/AT1G21250/AT5G26920/AT3G51430/AT5G60280/AT3G50470/AT4G31800/AT3G05360/AT1G24150/AT4G12480/AT3G52400/AT5G05190/AT5G08790/AT4G20830/AT1G49050/AT4G19700/AT1G07000/AT3G56400/AT5G39580/AT4G34390/AT5G12870/AT4G17720/AT3G16030/AT1G80840/AT5G57220/AT1G33560/AT3G25020/AT4G21980/AT1G11310/AT5G45110/AT2G35940/AT2G01650/AT3G25780/AT3G06490/AT3G59660/AT4G33300/AT4G23570/AT3G13437/AT2G30020/AT5G47910/AT2G39660/AT5G66910/AT2G38470/AT5G45900/AT4G14400/AT3G28450/AT1G12200/AT4G02330/AT3G19260/AT5G04720/AT3G44860/AT2G46450/AT2G46440/AT4G16760/AT3G11820/AT1G64280/AT5G38280/AT3G22231/AT2G25110/AT3G60190/AT4G01370/AT4G27320/AT2G40140/AT4G19660/AT3G21630/AT1G59870/AT3G07525,119
GO:0009751,BP,GO:0009751,response to salicylic acid,85/1678,199/21061,0.42713567839196,5.36108731979325,18.1868721528798,4.12022102036334e-41,2.51196141541485e-38,1.90397581888369e-38,AT4G10500/AT2G13810/AT5G36970/AT3G01420/AT1G66700/AT1G73260/AT1G15520/AT3G11340/AT5G40990/AT5G24110/AT1G65500/AT1G65510/AT5G46050/AT5G22570/AT1G79680/AT1G15380/AT5G13330/AT3G45860/AT5G01900/AT1G28480/AT4G23280/AT5G24530/AT1G65484/AT2G46400/AT3G50480/AT2G04450/AT2G14560/AT2G25000/AT5G54610/AT5G65600/AT3G50930/AT1G76930/AT1G65486/AT4G23810/AT2G33380/AT5G13170/AT4G39030/AT1G21250/AT1G12160/AT4G18980/AT3G51430/AT3G61190/AT5G08760/AT4G31800/AT2G37710/AT5G44568/AT3G52400/AT3G52430/AT1G14780/AT5G05190/AT5G08790/AT5G03350/AT3G56400/AT4G23170/AT1G22890/AT1G80840/AT3G48090/AT1G65490/AT4G23130/AT5G06320/AT5G45110/AT5G27830/AT5G06960/AT2G32800/AT2G29420/AT5G49570/AT4G14400/AT1G61340/AT1G62810/AT2G40000/AT3G44860/AT1G21270/AT2G17520/AT3G11820/AT1G64280/AT3G22231/AT4G01370/AT4G05320/AT4G04695/AT4G19660/AT3G03450/AT1G29690/AT1G22070/AT1G75270/AT1G28380,85
GO:0071456,BP,GO:0071456,cellular response to hypoxia,85/1678,241/21061,0.352697095435685,4.42678994455957,15.7423769142041,1.29528647975271e-33,4.73815794293541e-31,3.59135219754594e-31,AT1G19250/AT1G26410/AT1G05880/AT2G23270/AT1G26380/AT5G64905/AT1G14540/AT1G73010/AT5G42380/AT1G30720/AT3G49780/AT5G24530/AT3G25250/AT2G46400/AT3G46090/AT4G34131/AT4G01360/AT4G31970/AT5G20230/AT4G37710/AT2G47520/AT5G25250/AT5G27420/AT2G32210/AT1G68690/AT5G26920/AT5G59820/AT1G67360/AT4G20860/AT1G07400/AT3G08720/AT4G10265/AT2G26150/AT1G19020/AT5G42050/AT5G12030/AT2G26560/AT1G18300/AT1G72900/AT1G01720/AT2G13790/AT3G56400/AT5G12020/AT1G76640/AT5G13190/AT5G58120/AT5G57220/AT4G26270/AT3G13310/AT1G14200/AT1G65490/AT4G12720/AT5G06320/AT4G13395/AT1G76650/AT5G20830/AT1G66090/AT2G22500/AT4G23570/AT4G24110/AT3G23170/AT2G36800/AT5G47910/AT5G19550/AT2G41100/AT1G09070/AT1G61340/AT2G16060/AT2G33590/AT2G40000/AT3G24500/AT4G22780/AT1G27730/AT2G41090/AT2G26190/AT3G02040/AT5G63790/AT5G37670/AT2G40140/AT1G72910/AT1G59860/AT2G01180/AT2G46500/AT5G04340/AT2G41010,85
GO:0001666,BP,GO:0001666,response to hypoxia,90/1678,269/21061,0.33457249070632,4.19930347244684,15.5381070045043,1.76255945048596e-33,5.37286872489804e-31,4.07243999349125e-31,AT1G19250/AT1G26410/AT1G05880/AT2G23270/AT1G26380/AT5G64905/AT1G14540/AT1G73010/AT5G42380/AT1G30720/AT3G49780/AT5G24530/AT3G25250/AT2G46400/AT3G46090/AT4G34131/AT4G01360/AT4G31970/AT5G20230/AT4G37710/AT2G47520/AT5G25250/AT5G27420/AT2G32210/AT1G68690/AT5G26920/AT5G59820/AT1G67360/AT4G20860/AT1G07400/AT3G08720/AT4G10265/AT2G26150/AT1G19020/AT3G52430/AT5G42050/AT5G12030/AT2G26560/AT1G18300/AT1G72900/AT1G01720/AT2G13790/AT3G56400/AT5G12020/AT1G76640/AT5G13190/AT5G58120/AT3G48090/AT5G57220/AT4G26270/AT3G13310/AT1G14200/AT1G65490/AT4G12720/AT5G06320/AT4G13395/AT1G76650/AT5G20830/AT1G66090/AT2G22500/AT4G23570/AT4G24110/AT3G23170/AT2G36800/AT5G47910/AT5G19550/AT2G41100/AT1G09070/AT1G61340/AT2G16060/AT2G33590/AT2G40000/AT3G24500/AT4G22780/AT4G27780/AT1G64280/AT1G27730/AT2G41090/AT1G72330/AT2G26190/AT3G02040/AT5G63790/AT5G37670/AT2G40140/AT1G72910/AT1G59860/AT2G01180/AT2G46500/AT5G04340/AT2G41010,90
GO:0002376,BP,GO:0002376,immune system process,84/1678,276/21061,0.304347826086957,3.81994610561227,13.8750641152676,5.10389797711457e-28,7.1807918462635e-26,5.44278027195133e-26,AT1G19250/AT1G17615/AT2G14610/AT1G32960/AT3G22600/AT2G30770/AT5G64890/AT5G40990/AT4G37990/AT4G28460/AT5G13320/AT1G49800/AT2G23270/AT2G30750/AT2G32680/AT5G64905/AT5G24090/AT5G35580/AT5G09978/AT1G06135/AT3G49120/AT3G54420/AT4G23210/AT5G54610/AT5G65600/AT5G05300/AT3G50930/AT1G08450/AT4G39030/AT5G25440/AT2G33580/AT5G61010/AT1G64060/AT4G12480/AT3G52400/AT3G52430/AT1G14780/AT2G26560/AT2G13790/AT3G56400/AT4G34390/AT5G39610/AT5G13190/AT3G09830/AT3G11840/AT4G17720/AT3G16030/AT3G48090/AT5G57220/AT5G20480/AT5G48380/AT4G12720/AT1G72890/AT1G17600/AT1G61380/AT3G62600/AT4G11850/AT4G39950/AT4G37290/AT5G46180/AT5G47070/AT4G22305/AT1G09970/AT2G39660/AT1G18570/AT2G35930/AT5G47220/AT1G69440/AT2G02220/AT1G11330/AT1G67470/AT3G11820/AT1G64280/AT3G44670/AT2G25110/AT2G37150/AT2G43850/AT3G21220/AT1G29690/AT3G20600/AT3G21630/AT1G59870/AT1G28380/AT5G60360,84
GO:0080134,BP,GO:0080134,regulation of response to stress,110/1678,443/21061,0.248306997742664,3.11656357536248,13.2472147652037,8.55423037390768e-28,1.11754909670551e-25,8.47061759581686e-26,AT2G29350/AT1G17615/AT2G14610/AT3G22600/AT5G40990/AT3G51860/AT3G26830/AT3G55150/AT2G29460/AT3G25010/AT5G13320/AT1G51800/AT2G32680/AT5G46350/AT4G11890/AT5G24090/AT3G55970/AT2G45130/AT1G08860/AT1G56060/AT5G47850/AT3G45860/AT4G36990/AT4G39830/AT2G46400/AT5G39670/AT1G06135/AT2G31865/AT3G49120/AT5G52810/AT3G62590/AT2G25000/AT5G65600/AT5G05300/AT3G25882/AT1G73805/AT4G23810/AT5G43410/AT5G44585/AT1G74710/AT4G39030/AT5G26920/AT3G59700/AT3G01080/AT5G25440/AT2G31880/AT1G67360/AT3G61190/AT4G08850/AT4G31800/AT3G52400/AT1G02450/AT3G52430/AT3G10930/AT5G05190/AT4G05590/AT1G07000/AT3G56400/AT4G34390/AT5G39610/AT5G13190/AT3G09830/AT4G17720/AT1G80840/AT5G20480/AT5G48380/AT1G14370/AT2G18950/AT3G22400/AT4G12720/AT1G72890/AT3G25020/AT4G03960/AT1G17600/AT1G11310/AT1G61380/AT3G62600/AT2G20880/AT1G78310/AT4G23570/AT3G51960/AT4G22305/AT3G02150/AT2G39660/AT5G14930/AT1G17380/AT3G14990/AT4G14400/AT3G05500/AT3G28450/AT1G29060/AT5G62570/AT5G47220/AT3G17410/AT2G02220/AT4G26750/AT3G11820/AT1G64280/AT1G19180/AT3G22231/AT2G25110/AT3G07700/AT1G28280/AT3G43440/AT3G45640/AT3G21630/AT1G59870/AT4G13040/AT3G07780/AT1G32870,110
GO:0012501,BP,GO:0012501,programmed cell death,68/1678,194/21061,0.350515463917526,4.39940773871693,13.9955116301012,6.08596637690165e-27,6.95702031459569e-25,5.27316955156544e-25,AT1G19250/AT3G13610/AT1G17615/AT1G73260/AT4G37990/AT1G16420/AT5G13320/AT1G08860/AT3G45860/AT4G23280/AT3G25250/AT5G10380/AT3G54420/AT4G23210/AT5G65600/AT3G50930/AT1G08450/AT4G25110/AT2G32460/AT1G12290/AT2G31880/AT1G64060/AT3G52400/AT5G64530/AT3G52430/AT5G42050/AT1G14780/AT2G26560/AT3G50260/AT4G19700/AT2G13790/AT4G34180/AT4G34390/AT5G39610/AT5G47120/AT5G13190/AT4G23170/AT4G17720/AT3G48090/AT5G20480/AT5G48380/AT4G23130/AT4G12720/AT1G72890/AT3G06490/AT5G46180/AT4G22305/AT5G47910/AT3G57330/AT1G02170/AT1G21750/AT2G17520/AT1G77890/AT3G11820/AT1G64280/AT3G44670/AT3G21220/AT5G51290/AT3G44880/AT2G38530/AT1G29690/AT3G20600/AT3G21630/AT1G59870/AT5G45100/AT1G79110/AT1G28380/AT5G60360,68
GO:0006955,BP,GO:0006955,immune response,81/1678,272/21061,0.297794117647059,3.73768886279184,13.3710774808022,2.37955509817219e-26,2.41789237475385e-24,1.83267489139928e-24,AT1G19250/AT1G17615/AT2G14610/AT1G32960/AT3G22600/AT2G30770/AT5G64890/AT5G40990/AT4G37990/AT4G28460/AT5G13320/AT1G49800/AT2G23270/AT2G30750/AT2G32680/AT5G64905/AT5G24090/AT5G35580/AT5G09978/AT1G06135/AT3G49120/AT3G54420/AT4G23210/AT5G54610/AT5G65600/AT5G05300/AT3G50930/AT1G08450/AT4G39030/AT5G25440/AT2G33580/AT5G61010/AT4G12480/AT3G52400/AT3G52430/AT1G14780/AT2G26560/AT2G13790/AT3G56400/AT4G34390/AT5G39610/AT5G13190/AT3G09830/AT4G17720/AT3G16030/AT3G48090/AT5G57220/AT5G20480/AT5G48380/AT4G12720/AT1G72890/AT1G17600/AT1G61380/AT3G62600/AT4G11850/AT4G39950/AT4G37290/AT5G46180/AT5G47070/AT4G22305/AT1G09970/AT2G39660/AT1G18570/AT5G47220/AT1G69440/AT2G02220/AT1G11330/AT1G67470/AT3G11820/AT1G64280/AT3G44670/AT2G25110/AT2G37150/AT2G43850/AT3G21220/AT1G29690/AT3G20600/AT3G21630/AT1G59870/AT1G28380/AT5G60360,81
GO:0006979,BP,GO:0006979,response to oxidative stress,106/1678,458/21061,0.231441048034935,2.90487479896529,12.1268668110613,3.54370638971646e-24,3.41128367725863e-22,2.58562953753827e-22,AT3G13610/AT3G01420/AT1G73260/AT1G15520/AT4G23150/AT4G08770/AT1G65970/AT1G04580/AT1G13340/AT5G24110/AT5G05340/AT1G16420/AT4G23140/AT1G60470/AT1G14870/AT1G30850/AT4G21830/AT5G46350/AT1G09080/AT1G15380/AT1G14540/AT5G42380/AT3G25250/AT1G60740/AT3G46090/AT1G02930/AT3G49120/AT4G02380/AT5G58940/AT5G20230/AT1G45145/AT1G61120/AT5G05300/AT1G05680/AT5G64120/AT4G23810/AT3G17790/AT1G03850/AT4G23190/AT5G64100/AT5G59820/AT2G25625/AT5G44380/AT1G07400/AT3G46930/AT2G26150/AT1G19020/AT5G12030/AT3G10930/AT4G20830/AT2G48150/AT3G56400/AT5G39580/AT5G39610/AT5G27600/AT5G12020/AT2G18980/AT4G33420/AT3G48090/AT4G12720/AT5G54500/AT1G56600/AT5G27830/AT4G11850/AT3G28340/AT5G63030/AT4G04800/AT1G09970/AT5G01820/AT3G17800/AT3G14990/AT4G18880/AT5G49570/AT4G11170/AT4G34710/AT5G61640/AT1G08830/AT2G17420/AT4G26070/AT2G40000/AT5G26030/AT2G47180/AT5G01600/AT3G63080/AT1G07890/AT1G63460/AT1G78380/AT1G20630/AT1G27730/AT2G41090/AT3G07700/AT1G52760/AT3G05970/AT5G37670/AT5G51740/AT1G34190/AT4G26970/AT3G45640/AT5G45010/AT1G64360/AT1G59860/AT3G04120/AT1G35910/AT1G32870/AT1G75270/AT1G65980,106
GO:0090693,BP,GO:0090693,plant organ senescence,58/1678,176/21061,0.329545454545455,4.13620787734316,12.2930203120111,1.21930407734768e-21,1.06195578927091e-19,8.04924045046062e-20,AT4G10500/AT2G43570/AT2G13810/AT3G21520/AT2G35980/AT3G11340/AT1G70170/AT5G24110/AT2G43000/AT3G25010/AT5G44610/AT1G73220/AT1G63245/AT5G45890/AT5G39520/AT1G17020/AT5G59220/AT1G05100/AT1G34180/AT5G24530/AT1G29860/AT4G24310/AT2G39200/AT4G02380/AT4G23810/AT5G37600/AT1G69490/AT1G11190/AT5G13170/AT4G18980/AT2G25625/AT3G26840/AT5G17860/AT3G52430/AT3G04060/AT3G10500/AT3G02480/AT5G62620/AT5G08790/AT2G13790/AT3G56400/AT2G45210/AT5G39610/AT4G16110/AT5G11520/AT5G51640/AT3G02150/AT5G14930/AT5G45900/AT1G32450/AT1G77450/AT1G54570/AT4G27410/AT1G19270/AT1G20780/AT1G34190/AT3G60800/AT1G64360,58
GO:0009415,BP,GO:0009415,response to water,103/1678,471/21061,0.218683651804671,2.74475351052335,11.2675897191965,1.55129330880332e-21,1.2896888462733e-19,9.77537458226778e-20,AT2G14610/AT2G38340/AT1G15520/AT3G26830/AT1G04580/AT1G65500/AT1G01480/AT3G09940/AT4G11890/AT5G24090/AT2G47190/AT5G40010/AT5G59220/AT1G15380/AT5G13330/AT5G38710/AT5G42380/AT2G37770/AT1G65484/AT2G46400/AT1G52890/AT1G02930/AT3G23250/AT4G02380/AT3G49210/AT1G05680/AT2G47520/AT1G65486/AT3G13380/AT1G30100/AT3G04070/AT2G33380/AT2G47800/AT5G26920/AT2G37760/AT2G25625/AT3G15500/AT1G67360/AT1G32560/AT3G46930/AT1G19020/AT4G02280/AT4G05590/AT5G26340/AT3G10500/AT3G02480/AT4G23450/AT1G07000/AT3G56400/AT1G18390/AT5G47120/AT1G22890/AT2G35300/AT2G46140/AT3G20250/AT1G54100/AT1G55610/AT3G61890/AT1G33560/AT3G63060/AT3G19580/AT1G56600/AT5G12420/AT5G20830/AT2G20880/AT4G39950/AT3G17000/AT5G06760/AT2G46680/AT3G13437/AT4G24190/AT3G23920/AT3G51920/AT5G01820/AT2G38470/AT3G05500/AT2G35930/AT4G27410/AT2G26740/AT1G62810/AT3G17410/AT1G08920/AT4G26070/AT2G33590/AT2G47180/AT3G24500/AT3G26090/AT1G69270/AT3G56200/AT1G78380/AT3G57540/AT1G27730/AT1G30270/AT2G41070/AT2G38530/AT1G08930/AT1G69310/AT1G19490/AT1G59870/AT4G28300/AT2G30580/AT2G41010/AT3G46620,103
GO:0019748,BP,GO:0019748,secondary metabolic process,88/1678,371/21061,0.237196765498652,2.97711625635704,11.3045578399968,5.19194101761377e-21,3.95669171717316e-19,2.99902908780585e-19,AT3G60120/AT3G13610/AT2G29470/AT5G66690/AT5G24540/AT1G67980/AT1G69930/AT1G65690/AT2G30770/AT3G60140/AT3G26830/AT1G04580/AT4G37990/AT5G05340/AT2G43000/AT2G29460/AT3G12230/AT5G62480/AT1G66280/AT4G22680/AT1G69920/AT1G74590/AT3G09270/AT5G13330/AT4G19370/AT1G02920/AT3G11430/AT1G02930/AT3G12220/AT5G20230/AT1G64160/AT4G02520/AT1G15670/AT4G12350/AT1G17170/AT5G64120/AT1G17180/AT5G48180/AT2G02930/AT5G44585/AT1G12160/AT1G68320/AT5G13580/AT1G61820/AT2G02390/AT1G72680/AT4G08850/AT2G33070/AT1G73270/AT1G02940/AT3G52430/AT2G44480/AT1G80820/AT3G24503/AT3G56400/AT1G21120/AT4G34230/AT1G61810/AT5G57220/AT1G33800/AT3G11580/AT2G29490/AT3G21230/AT4G39230/AT4G39950/AT4G36220/AT3G10450/AT5G23190/AT2G29420/AT2G38470/AT1G18570/AT3G21560/AT5G41040/AT4G13660/AT1G28680/AT1G07890/AT1G59700/AT1G78380/AT2G30490/AT4G01070/AT2G41070/AT5G63790/AT5G63560/AT1G20780/AT3G45640/AT1G59870/AT5G13420/AT5G54160,88
GO:0002831,BP,GO:0002831,regulation of response to biotic stimulus,63/1678,220/21061,0.286363636363636,3.59422201755336,11.3808282227597,8.41073872919111e-20,5.91663120603482e-18,4.48459226977518e-18,AT1G17615/AT3G22600/AT5G40990/AT3G26830/AT3G55150/AT2G29460/AT5G13320/AT1G51800/AT2G32680/AT5G24090/AT3G55970/AT4G39830/AT5G39670/AT1G06135/AT3G49120/AT5G52810/AT5G65600/AT5G05300/AT3G25882/AT1G73805/AT5G44585/AT5G26920/AT3G59700/AT5G25440/AT4G31800/AT3G52400/AT1G02450/AT3G52430/AT5G05190/AT1G07000/AT3G56400/AT4G34390/AT5G39610/AT5G13190/AT3G09830/AT4G17720/AT1G80840/AT5G20480/AT1G14370/AT3G22400/AT4G12720/AT1G72890/AT3G25020/AT4G03960/AT1G17600/AT1G61380/AT3G62600/AT4G23570/AT4G22305/AT2G39660/AT5G14930/AT4G14400/AT3G28450/AT5G62570/AT5G47220/AT4G26750/AT3G11820/AT1G64280/AT3G22231/AT2G25110/AT3G21630/AT1G59870/AT4G13040,63
GO:0032101,BP,GO:0032101,regulation of response to external stimulus,65/1678,235/21061,0.276595744680851,3.47162275251693,11.2105739379048,1.62526978769534e-19,1.06164944346242e-17,8.04691846013071e-18,AT1G17615/AT5G13080/AT3G22600/AT5G40990/AT3G26830/AT3G55150/AT2G29460/AT5G13320/AT1G51800/AT2G32680/AT5G24090/AT3G55970/AT2G45130/AT4G39830/AT5G39670/AT1G06135/AT3G49120/AT5G52810/AT5G65600/AT5G05300/AT3G25882/AT1G73805/AT5G44585/AT5G26920/AT3G59700/AT5G25440/AT4G31800/AT3G52400/AT1G02450/AT3G52430/AT5G05190/AT1G07000/AT3G56400/AT4G34390/AT5G39610/AT5G13190/AT3G09830/AT4G17720/AT1G80840/AT5G20480/AT1G14370/AT3G22400/AT4G12720/AT1G72890/AT3G25020/AT4G03960/AT1G17600/AT1G61380/AT3G62600/AT4G23570/AT4G22305/AT2G39660/AT5G14930/AT4G14400/AT3G28450/AT5G62570/AT5G47220/AT4G26750/AT3G11820/AT1G64280/AT3G22231/AT2G25110/AT3G21630/AT1G59870/AT4G13040,65
GO:0009611,BP,GO:0009611,response to wounding,69/1678,268/21061,0.257462686567164,3.23147892836177,10.8172352375614,8.87593701117349e-19,5.59796165290907e-17,4.24305228447023e-17,AT1G73260/AT5G40990/AT2G24850/AT5G46050/AT5G24090/AT5G44575/AT3G11480/AT1G15380/AT5G44420/AT3G12500/AT3G25250/AT5G43580/AT5G50200/AT3G54420/AT5G20230/AT3G13790/AT3G54150/AT1G61120/AT1G76930/AT1G16160/AT5G44585/AT1G16090/AT5G44570/AT2G47800/AT1G74020/AT5G59820/AT3G61190/AT5G44568/AT1G19020/AT5G08790/AT1G01720/AT2G34810/AT1G21120/AT5G10300/AT1G80840/AT1G51760/AT5G06320/AT1G55020/AT1G76650/AT4G13280/AT1G06160/AT5G63970/AT2G30020/AT5G47910/AT2G32800/AT3G17800/AT5G05730/AT1G17380/AT1G71697/AT2G33150/AT1G61340/AT3G14050/AT4G34710/AT1G62810/AT4G26070/AT3G44860/AT2G02220/AT4G16760/AT2G30490/AT1G21110/AT1G64280/AT1G19180/AT1G27730/AT1G79380/AT1G01140/AT4G01370/AT3G43440/AT3G45640/AT4G08500,69
GO:0000302,BP,GO:0000302,response to reactive oxygen species,50/1678,167/21061,0.29940119760479,3.75785972750566,10.5277188222051,7.06392041106521e-17,4.03747200994946e-15,3.0602576254516e-15,AT3G13610/AT3G01420/AT1G73260/AT1G15520/AT4G23150/AT1G04580/AT5G24110/AT1G16420/AT4G23140/AT4G21830/AT5G46350/AT1G09080/AT5G42380/AT4G02380/AT5G58940/AT1G61120/AT5G05300/AT1G05680/AT4G23810/AT3G17790/AT1G07400/AT2G26150/AT1G19020/AT5G12030/AT3G10930/AT3G56400/AT5G39610/AT5G27600/AT5G12020/AT3G48090/AT4G12720/AT3G17800/AT4G18880/AT5G49570/AT4G11170/AT1G08830/AT2G17420/AT4G26070/AT5G01600/AT1G07890/AT1G20630/AT3G07700/AT1G52760/AT3G05970/AT5G37670/AT1G34190/AT5G45010/AT1G59860/AT3G04120/AT1G75270,50
GO:0071446,BP,GO:0071446,cellular response to salicylic acid stimulus,33/1678,77/21061,0.428571428571429,5.37910778137238,11.3266510763965,8.0792505928536e-17,4.47786343464522e-15,3.39405838302654e-15,AT2G13810/AT5G36970/AT3G01420/AT3G11340/AT5G22570/AT1G15380/AT5G01900/AT1G28480/AT2G04450/AT5G65600/AT3G50930/AT5G13170/AT3G52400/AT3G52430/AT1G14780/AT5G05190/AT5G03350/AT3G56400/AT3G48090/AT5G45110/AT5G06960/AT2G32800/AT4G14400/AT3G11820/AT1G64280/AT3G22231/AT4G01370/AT4G19660/AT3G03450/AT1G29690/AT1G22070/AT1G75270/AT1G28380,33
GO:0009753,BP,GO:0009753,response to jasmonic acid,58/1678,220/21061,0.263636363636364,3.30896630187453,10.1294140115878,1.65405439670343e-16,8.64361569020165e-15,6.55154779085239e-15,AT1G15520/AT1G70170/AT5G64810/AT1G65500/AT2G24850/AT5G46050/AT3G09940/AT1G47510/AT3G55970/AT5G26170/AT1G15380/AT5G13330/AT1G28480/AT5G44420/AT2G46400/AT3G50480/AT1G61120/AT1G76930/AT1G65486/AT4G23810/AT4G19810/AT3G22160/AT3G23240/AT1G12160/AT1G74020/AT3G51430/AT3G15500/AT4G20860/AT5G08760/AT3G52400/AT3G52430/AT5G08790/AT2G34810/AT3G56400/AT2G40330/AT1G22890/AT1G65490/AT2G39030/AT1G55020/AT5G45110/AT1G06160/AT5G63970/AT2G32800/AT1G17380/AT1G61340/AT5G47220/AT4G34710/AT1G62810/AT3G44860/AT3G26090/AT3G11820/AT1G64280/AT1G19180/AT1G79380/AT4G01370/AT3G43440/AT4G19660/AT3G03450,58
GO:0009626,BP,GO:0009626,plant-type hypersensitive response,32/1678,82/21061,0.390243902439024,4.89804936190006,10.4058253598478,6.08596326342106e-15,2.85416072020439e-13,2.16335050416344e-13,AT1G19250/AT1G17615/AT4G37990/AT5G13320/AT3G54420/AT4G23210/AT5G65600/AT3G50930/AT1G08450/AT3G52400/AT3G52430/AT1G14780/AT2G26560/AT2G13790/AT4G34390/AT5G13190/AT4G17720/AT3G48090/AT5G20480/AT5G48380/AT4G12720/AT1G72890/AT5G46180/AT4G22305/AT3G11820/AT3G44670/AT3G21220/AT1G29690/AT3G20600/AT3G21630/AT1G59870/AT1G28380,32
GO:0009404,BP,GO:0009404,toxin metabolic process,27/1678,61/21061,0.442622950819672,5.55547197092558,10.4834279023805,1.94466881736546e-14,8.46856968324149e-13,6.41886925431155e-13,AT2G29470/AT1G69930/AT2G30770/AT3G26830/AT2G43000/AT2G29460/AT5G62480/AT1G69920/AT1G74590/AT3G09270/AT1G02920/AT1G02930/AT4G02520/AT1G17170/AT1G17180/AT2G02930/AT2G02390/AT1G02940/AT3G52430/AT3G56400/AT2G29490/AT4G39950/AT2G29420/AT2G38470/AT1G59700/AT1G78380/AT3G45640,27
GO:0042430,BP,GO:0042430,indole-containing compound metabolic process,32/1678,87/21061,0.367816091954023,4.61655227213568,9.94554083437194,4.35992191695436e-14,1.81234026957035e-12,1.37368831689687e-12,AT2G30770/AT3G44300/AT3G26830/AT2G43000/AT2G29460/AT1G44542/AT1G05680/AT5G44585/AT4G08850/AT3G52430/AT4G34180/AT3G56400/AT1G21120/AT2G24180/AT5G57220/AT3G54640/AT2G04400/AT4G39950/AT1G25220/AT5G05730/AT2G38470/AT1G18570/AT3G28930/AT2G40000/AT4G23850/AT4G27070/AT3G28940/AT5G27520/AT3G45640/AT1G59870/AT5G54160/AT4G14430,32
